time,id,x,y,energy,salt_need,alive,consumed_salt_id
0,0,36,88,0.9945325108371982,0.4346848533067361,True,
0,1,39,96,0.9925953929263459,0.49702047177547826,True,
0,2,77,1,0.9939323177446093,0.30978739078898343,True,
0,3,47,60,0.9958589753771465,0.47198248955222966,True,
0,4,34,69,0.9942329812785953,0.2767687443261541,True,
0,6,83,77,0.9913303398690723,0.40108217354507747,True,
0,7,47,66,1.0,0.0,True,10.0
0,8,42,11,0.9934117212996492,0.3624841049634655,True,
0,9,36,14,0.9930556437359959,0.5110506586006688,True,
0,10,28,27,0.9937336872538273,0.38387609144057533,True,
0,11,67,22,0.9938167885440301,0.36270816787127447,True,
0,12,42,93,0.9913368237945943,0.35385574194018365,True,
0,14,46,14,1.0,0.0,True,3.0
0,18,42,30,0.9954138136751243,0.5171401594326493,True,
0,19,3,62,0.9942642664367152,0.3668937730068229,True,
0,20,57,55,0.993521895208247,0.5029785681287492,True,
0,21,89,93,0.9935335985250231,0.45230132082259,True,
0,23,87,64,0.9914039505429597,0.4082955775586459,True,
0,25,44,11,1.0,0.0,True,3.0
0,26,33,77,0.9907273136423638,0.3143971015454271,True,
0,27,95,83,0.9947114904547448,0.45538342353896405,True,
0,28,75,35,0.9959851472035972,0.2786340473376121,True,
0,30,67,47,0.9943873285219806,0.44138313354305503,True,
0,31,11,13,1.0,0.0,True,12.0
0,32,39,43,1.0,0.0,True,6.0
0,33,12,24,0.993293053783945,0.5018736059077944,True,
0,34,55,33,1.0,0.0,True,9.0
0,35,21,91,0.9918468064051197,0.5063194239275554,True,
0,36,31,0,0.9905095462588301,0.4943884425946474,True,
0,37,55,93,0.9910717125469616,0.3694005155349317,True,
0,38,73,24,0.9916871931009913,0.34676961256226274,True,
0,39,46,50,0.992948348481173,0.49018211059353434,True,
0,41,78,84,0.9904408258659072,0.5074233694923204,True,
0,42,97,56,0.9954524925418519,0.3304448929597943,True,
0,43,28,25,1.0,0.0,True,8.0
0,44,38,14,0.9912055697752415,0.31560712432270777,True,
0,45,91,39,0.9931566542866699,0.3145391540495662,True,
0,46,16,7,0.9904443712158382,0.3609223220666787,True,
0,47,15,94,0.9911920838534769,0.3326660105385918,True,
0,48,14,2,0.9916480922353531,0.5067344532767776,True,
0,49,96,2,0.995626707654276,0.482236855029175,True,
0,50,72,9,0.9951513527014912,0.4127909716051079,True,
0,51,85,39,0.9959166866998926,0.37561647422691913,True,
0,52,47,71,1.0,0.0,True,10.0
0,54,93,34,0.9931556446490121,0.48160503483162176,True,
0,55,5,50,0.995452516622029,0.331021476944024,True,
0,56,12,50,0.9908561413274709,0.31276305986165454,True,
0,57,64,78,0.9957922787936272,0.4124866430833916,True,
0,58,0,17,0.9928055916267888,0.2733824459149188,True,
0,59,90,27,0.9904791677908217,0.45277603523250437,True,
1,0,36,88,1.0,0.0,True,14.0
1,1,39,94,0.9880468473310848,0.5170204717754783,True,
1,2,77,3,0.9868896517335464,0.32978739078898345,True,
1,3,45,60,0.9889694031668493,0.4919824895522297,True,
1,6,82,78,0.9825126497593528,0.4210821735450775,True,
1,7,48,65,1.0,0.0,True,10.0
1,8,42,13,0.9873571707736339,0.3824841049634655,True,
1,9,37,15,0.9855849167665678,0.5310506586006688,True,
1,10,28,26,0.9884665250433022,0.40387609144057535,True,
1,11,66,23,0.9874068443000733,0.3827081678712745,True,
1,12,42,93,0.9839390415701984,0.3738557419401837,True,
1,14,45,14,1.0,0.0,True,3.0
1,18,42,30,0.9857908966964217,0.5371401594326494,True,
1,19,3,63,0.9895897498971306,0.3868937730068229,True,
1,20,57,55,0.9860112392186113,0.5229785681287492,True,
1,21,90,93,0.9874287173076796,0.47230132082259,True,
1,25,44,12,1.0,0.0,True,3.0
1,26,34,79,0.9814546272847275,0.3343971015454271,True,
1,27,93,81,0.985961015719301,0.47538342353896407,True,
1,28,75,35,0.9864467157265603,0.2986340473376121,True,
1,30,66,48,0.9873583447916365,0.46138313354305505,True,
1,31,10,14,1.0,0.0,True,12.0
1,32,39,42,1.0,0.0,True,6.0
1,33,14,24,0.9883025621567877,0.5218736059077944,True,
1,34,53,35,1.0,0.0,True,9.0
1,35,23,89,0.9845989589611249,0.5263194239275554,True,
1,36,32,2,0.9810190925176603,0.5143884425946474,True,
1,37,53,92,0.9870173627558263,0.3894005155349317,True,
1,38,72,23,0.9834783118909983,0.36676961256226276,True,
1,41,78,84,0.9860963709004974,0.5274233694923204,True,
1,42,96,55,0.9871349885653558,0.3504448929597943,True,
1,43,30,24,1.0,0.0,True,8.0
1,44,38,13,0.984723672766155,0.3356071243227078,True,
1,45,90,40,0.9883167300877626,0.33453915404956625,True,
1,46,15,8,0.9849202890090443,0.3809223220666787,True,
1,48,13,2,0.9820680788643102,0.5267344532767776,True,
1,49,96,4,0.9876502207374227,0.502236855029175,True,
1,50,71,11,0.987560799533702,0.43279097160510793,True,
1,51,85,40,0.9904359632231405,0.39561647422691915,True,
1,52,47,71,1.0,0.0,True,10.0
1,54,92,34,0.9853731640718744,0.5016050348316218,True,
1,55,6,49,0.9887491934810924,0.351021476944024,True,
1,56,11,49,1.0,0.0,True,11.0
1,57,62,78,0.990370636543603,0.43248664308339163,True,
1,59,90,28,0.9817157502964845,0.4727760352325044,True,
2,0,36,87,1.0,0.0,True,14.0
2,1,39,93,0.982677612528948,0.5370204717754783,True,
2,2,77,5,0.9791900170591582,0.34978739078898347,True,
2,3,45,59,0.9792661644298881,0.5119824895522297,True,
2,6,80,76,0.97318063350276,0.4410821735450775,True,
2,7,47,65,1.0,0.0,True,10.0
