time,id,x,y,energy,salt_need,alive,consumed_salt_id
0,0,87,46,0.9948108297663217,0.48461095082695127,True,
0,2,55,2,0.9935672305621558,0.3816521108831882,True,
0,3,27,20,0.9952166079133546,0.5089183759351105,True,
0,4,17,83,0.9948175092394405,0.5143934617585124,True,
0,5,48,94,0.9926784318413447,0.4189132428158866,True,
0,6,77,4,0.9933477797426384,0.44185067114927734,True,
0,7,94,10,0.9956484328228008,0.390859034374508,True,
0,9,23,42,0.9947781632897891,0.4857733214328218,True,
0,10,66,69,0.9941188335520015,0.29360185536684835,True,
0,11,10,5,0.991575108239256,0.4092874183892452,True,
0,12,87,38,0.9922321878522208,0.4117253365831839,True,
0,13,82,40,0.9914017322815593,0.47812729099771123,True,
0,14,33,83,0.9919760467617796,0.29168557429851905,True,
0,15,13,32,0.9958311552855148,0.4310479939291123,True,
0,16,50,90,0.9944059142983632,0.43761915362766546,True,
0,17,18,26,0.9915759120756596,0.3724832695744471,True,
0,21,2,46,0.9937272508749266,0.3758294913863689,True,
0,22,15,89,0.9950631094568705,0.2804711832874123,True,
0,23,51,25,1.0,0.0,True,2.0
0,25,96,0,0.9956889230452299,0.38088961407851607,True,
0,26,43,84,0.9953771654876528,0.4847845150934998,True,
0,28,39,79,0.9946838284689917,0.416822027465217,True,
0,29,69,64,0.99328875671521,0.33559146817384605,True,
0,30,6,38,0.9919857394053588,0.4622334441339855,True,
0,31,59,25,1.0,0.0,True,2.0
0,32,45,81,0.9924616716157575,0.5106742946434193,True,
0,34,73,5,0.9937097893060068,0.4347598612096597,True,
0,35,5,2,0.9915914789015253,0.33974591683043986,True,
0,36,94,93,0.9952282068448343,0.31414487615375364,True,
0,37,44,90,0.9934386243170886,0.38394043629822244,True,
0,38,79,68,0.9955810301287318,0.47201225733493646,True,
0,39,87,77,0.9929994716905514,0.4862048376573259,True,
0,40,40,45,1.0,0.0,True,6.0
0,44,88,41,0.9953313104273207,0.43260777563242125,True,
0,45,63,50,0.9926937188423355,0.39244811752269476,True,
0,46,31,39,0.9955877461946997,0.5063978586891401,True,
0,47,90,83,0.9950047378343759,0.3922794497980404,True,
0,48,22,22,0.9959338686945886,0.35756282859738103,True,
0,50,90,66,0.9931049749191446,0.435874659813031,True,
0,51,97,49,0.9933654339069129,0.36893313381277226,True,
0,52,35,42,0.9943673330222953,0.3768659983113914,True,
0,53,30,41,0.9912641955958802,0.5182444220152849,True,
0,54,16,88,0.995184960125891,0.28308452606067475,True,
0,56,29,80,0.9930546939117748,0.3494543899544358,True,
0,57,27,59,0.992410609328896,0.4421189472705701,True,
0,58,26,53,0.9944599828994889,0.2869048164473891,True,
0,59,91,99,0.9927938299611706,0.46481124452895956,True,
1,0,87,44,0.9874793109061268,0.5046109508269513,True,
1,2,53,2,0.9890261934437821,0.4016521108831882,True,
1,3,27,19,0.9887576205083709,0.5289183759351105,True,
1,4,17,82,0.9900805578170226,0.5343934617585124,True,
1,5,49,93,0.9853568636826895,0.4389132428158866,True,
1,6,78,3,0.9872961399957285,0.46185067114927736,True,
1,7,95,10,0.990005640378128,0.410859034374508,True,
1,9,22,42,0.9872843350081961,0.5057733214328218,True,
1,11,12,5,0.9856890567597189,0.4292874183892452,True,
1,12,88,38,0.9844643757044416,0.4317253365831839,True,
1,13,82,40,0.9871178587359313,0.49812729099771125,True,
1,14,32,82,0.9853032511632,0.31168557429851906,True,
1,15,14,33,0.989256013251504,0.4510479939291123,True,
1,16,50,89,0.9884272071798623,0.4576191536276655,True,
1,17,18,27,0.9851006123707542,0.3924832695744471,True,
1,21,4,47,0.9868323365197007,0.3958294913863689,True,
1,22,13,87,0.9902480695827615,0.3004711832874123,True,
1,23,52,27,1.0,0.0,True,2.0
1,25,96,0,0.9891482532655487,0.4008896140785161,True,
1,28,37,78,0.9875551139679154,0.43682202746521703,True,
1,30,7,39,0.984271880128151,0.4822334441339855,True,
1,31,59,24,1.0,0.0,True,2.0
1,34,73,6,0.9875380417897607,0.4547598612096597,True,
1,36,94,93,0.9883943643630624,0.33414487615375366,True,
1,37,43,90,0.9869189982577079,0.40394043629822246,True,
1,38,78,67,0.9911620602574636,0.4920122573349365,True,
1,40,39,44,1.0,0.0,True,6.0
1,44,87,41,0.9906718074706073,0.45260777563242127,True,
1,46,31,39,0.9897803602772761,0.5263978586891401,True,
1,47,90,84,0.9900094756687519,0.41227944979804043,True,
1,48,21,22,0.9899362926302655,0.37756282859738105,True,
1,50,89,65,0.9873834781878,0.455874659813031,True,
1,51,96,49,0.9887258530674667,0.3889331338127723,True,
1,52,37,42,1.0,0.0,True,6.0
1,53,30,41,0.9828276497542207,0.5382444220152849,True,
1,54,16,88,0.9883882672491812,0.30308452606067476,True,
1,56,30,79,0.9861093878235496,0.3694543899544358,True,
1,57,27,60,0.9858901618088407,0.4621189472705701,True,
1,59,91,98,0.9863984948806152,0.4848112445289596,True,
2,0,86,44,0.9807560853052686,0.5246109508269513,True,
2,2,52,2,0.9815415778938678,0.4216521108831882,True,
2,3,27,21,0.9820864872739191,0.5489183759351105,True,
2,4,16,82,0.9848291796666101,0.5543934617585125,True,
2,5,49,93,0.9796511363049807,0.45891324281588664,True,
2,6,79,2,0.9809758246618664,0.4818506711492774,True,
2,7,93,12,0.9831678803213938,0.430859034374508,True,
2,9,21,42,0.9815137187806563,0.5257733214328218,True,
2,11,14,6,0.981451652901418,0.44928741838924524,True,
2,12,87,36,0.9796282857190657,0.4517253365831839,True,
2,13,81,40,0.9828339851903033,0.5181272909977113,True,
