time,id,x,y,energy,salt_need,alive,consumed_salt_id
0,1,7,50,0.9940734933237437,0.414857255551241,True,
0,4,33,41,0.9912191243755079,0.3825648260669233,True,
0,5,31,47,0.9943414224394079,0.33721561808165423,True,
0,6,40,62,0.992622441115893,0.5144930368316893,True,
0,7,85,84,0.9919767551291421,0.337981577998356,True,
0,8,27,87,1.0,0.0,True,7.0
0,9,9,45,0.9944325751551755,0.5172612298994443,True,
0,10,7,85,0.9929542067282314,0.40455761423519443,True,
0,12,71,85,0.9956769895308905,0.4353489047223746,True,
0,13,42,29,0.9913142358510811,0.3759674027132597,True,
0,14,74,81,0.9941811148249178,0.3938807465202049,True,
0,15,2,87,0.9925547508671825,0.38395835211025975,True,
0,16,25,67,1.0,0.0,True,1.0
0,17,27,20,0.9959417236755742,0.31259215552835695,True,
0,19,86,57,0.9950069619316749,0.5098677600446481,True,
0,20,54,52,0.9932425814710121,0.4775498336424102,True,
0,21,96,34,0.9956305527917986,0.42216738005315646,True,
0,22,49,46,0.9928531481502946,0.3422909635107261,True,
0,23,73,72,0.993367848756576,0.4205010836734264,True,
0,25,8,5,0.9936215685281826,0.44969059804901357,True,
0,26,58,55,0.9920602589902024,0.3993698352460008,True,
0,27,13,58,0.9920649174804574,0.2757120341939031,True,
0,29,9,47,0.994401148027149,0.39359871052226136,True,
0,30,33,20,1.0,0.0,True,8.0
0,32,20,76,0.9951048801851718,0.4402359508797733,True,
0,33,73,85,0.9947312562576721,0.2965241042556103,True,
0,34,42,58,0.9938355612128832,0.4917551123909476,True,
0,35,17,83,0.9924031062638448,0.4514991973848573,True,
0,37,90,6,0.9954321906121651,0.3234052287359392,True,
0,38,78,68,0.995916993482809,0.3572186167716242,True,
0,39,58,21,0.9926595187084696,0.30758326844321204,True,
0,40,72,72,0.9920505991279286,0.47938213014046693,True,
0,41,49,62,0.99530441204708,0.4379583946250815,True,
0,42,69,78,0.9944395528172105,0.4673061463345729,True,
0,43,52,23,0.9919683163478535,0.34881683696868054,True,
0,44,0,26,0.9937597391821102,0.31869611876317055,True,
0,45,10,95,0.9931873854043389,0.34561704925867653,True,
0,46,4,69,0.9923398456940609,0.40173149519640006,True,
0,47,46,46,0.9949676361208496,0.3432148573331026,True,
0,48,48,83,0.9931072108293768,0.4700030416340555,True,
0,49,25,1,0.9927964949371257,0.38974525351514044,True,
0,50,6,43,0.9952549776362828,0.28876276663338224,True,
0,51,5,23,0.9957520419983309,0.31785045908454646,True,
0,53,88,75,0.991777616936738,0.3494169818089494,True,
0,55,53,87,0.9945858186922192,0.28352437766802446,True,
0,56,5,23,0.9912694071864243,0.3576581940397544,True,
0,57,1,22,0.995800251965463,0.38971975837276257,True,
0,58,71,88,0.9954397509087554,0.4486738080812226,True,
0,59,91,96,0.9915166022784323,0.297604995656909,True,
1,1,7,49,0.9888238203153505,0.434857255551241,True,
1,4,34,40,0.9832746136905165,0.40256482606692334,True,
1,5,32,46,0.9869251802637833,0.35721561808165425,True,
1,6,41,63,0.9878469976289274,0.5344930368316894,True,
1,8,27,87,1.0,0.0,True,7.0
1,9,11,47,0.9892553320846641,0.5372612298994444,True,
1,10,9,83,0.9872188335507632,0.42455761423519445,True,
1,12,71,86,0.9897435730871573,0.4553489047223746,True,
1,13,41,28,0.9860864887146412,0.3959674027132597,True,
1,14,74,80,0.9857824600548903,0.4138807465202049,True,
1,15,3,87,0.9867614030025765,0.40395835211025977,True,
1,16,25,66,1.0,0.0,True,1.0
1,17,27,22,0.9894827362705905,0.33259215552835697,True,
1,19,87,57,0.9886502587076512,0.5298677600446481,True,
